Census Tract,EDUCATIONAL ATTAINMENT: Population 25 years and over,"EDUCATIONAL ATTAINMENT: Population 25 years and over: 9th to 12th grade, no diploma",EDUCATIONAL ATTAINMENT: Population 25 years and over: Associate's degree,EDUCATIONAL ATTAINMENT: Population 25 years and over: Bachelor's degree,EDUCATIONAL ATTAINMENT: Population 25 years and over: Bachelor's degree or higher,EDUCATIONAL ATTAINMENT: Population 25 years and over: Graduate or professional degree,EDUCATIONAL ATTAINMENT: Population 25 years and over: High school graduate (includes equivalency),EDUCATIONAL ATTAINMENT: Population 25 years and over: High school graduate or higher,EDUCATIONAL ATTAINMENT: Population 25 years and over: Less than 9th grade,"EDUCATIONAL ATTAINMENT: Population 25 years and over: Some college, no degree",GEO Identifier,HOUSEHOLDS BY TYPE: Total households,HOUSEHOLDS BY TYPE: Total households: Average family size,HOUSEHOLDS BY TYPE: Total households: Average household size,SCHOOL ENROLLMENT: Population 3 years and over enrolled in school,SCHOOL ENROLLMENT: Population 3 years and over enrolled in school: College or graduate school,SCHOOL ENROLLMENT: Population 3 years and over enrolled in school: Elementary school (grades 1-8),SCHOOL ENROLLMENT: Population 3 years and over enrolled in school: High school (grades 9-12),SCHOOL ENROLLMENT: Population 3 years and over enrolled in school: Kindergarten,"SCHOOL ENROLLMENT: Population 3 years and over enrolled in school: Nursery school, preschool",GLOBALID,x,y
78.07,1631,126,53,252,348,96,782,1457,48,274,11001007807,888,3.44,2.7,711,232,277,144,46,12,{2CFBA598-FAA3-4A23-B196-BF8EFE63F050},,
78.08,2581,280,161,476,687,211,728,2136,165,560,11001007808,1600,3.39,2.52,1596,414,703,341,0,138,{DF30D21C-7275-494C-AC15-A50DD8D2BF01},,
78.09,1677,263,106,206,356,150,658,1388,26,268,11001007809,1128,4.03,2.61,761,134,311,180,0,136,{0D854595-A100-4845-8C0D-016D6457EB01},,
79.01,3298,217,60,962,1745,783,609,3075,6,661,11001007901,1759,3.5,2.81,1332,229,630,286,103,84,{82F3BD3D-5A53-41DE-822F-674873E321BF},,
79.03,1374,69,51,297,685,388,359,1273,32,178,11001007903,795,3.09,2.3,282,70,135,29,4,44,{E106B572-A9D4-4639-A065-4E094B3A62E2},,
80.01,2271,12,64,815,1917,1102,149,2216,43,86,11001008001,1423,2.76,2.09,547,118,210,50,54,115,{14EDC039-4776-4A1A-BFCA-0C79F32B31D2},,
80.02,2468,31,127,684,1907,1223,257,2400,37,109,11001008002,1509,3.28,2.26,848,188,405,68,22,165,{8E06A771-BED6-418B-8242-D7B565FDEA5E},,
81,2584,0,11,764,2311,1547,101,2573,11,150,11001008100,1534,2.97,2.05,444,205,127,16,25,71,{A19E3CD8-667A-429B-943D-1C10DE0402A2},,
82,2037,2,62,663,1884,1221,22,2033,2,65,11001008200,1387,2.72,1.92,561,406,85,15,21,34,{9160FEA2-5F90-46CF-A1F9-DBE58E506E66},,
83.01,2264,15,16,752,2059,1307,34,2235,14,126,11001008301,1410,2.63,1.98,514,294,133,0,78,9,{19F19320-5707-4F46-AAA7-2DF659BA0D9C},,
83.02,2200,36,29,851,1968,1117,66,2135,29,72,11001008302,1221,3.16,2.27,537,108,213,144,6,66,{1492794B-7160-44F4-A2BB-9C0E490B49DC},,
84.02,2017,37,0,725,1604,879,201,1957,23,152,11001008402,1297,2.69,1.77,295,69,124,48,8,46,{ED3BC7CD-3B7B-4334-9441-A16D04157F2D},,
84.1,1420,67,20,607,1151,544,106,1353,0,76,11001008410,778,3.37,2.66,375,65,134,27,65,84,{3225F615-18A0-44A6-898F-7554ACA5B2ED},,
87.01,2250,86,56,933,1664,731,277,2105,59,108,11001008701,1133,2.59,2.31,365,169,101,47,11,37,{0626A984-32D4-4482-B742-DDBF9040B93F},,
87.02,2682,57,106,1167,1855,688,439,2602,23,202,11001008702,1905,3.16,1.62,421,240,90,63,0,28,{70C4CC37-2935-455D-8508-29E00BEBF8DC},,
88.02,3162,166,102,671,1412,741,870,2826,170,442,11001008802,1700,3.42,2.5,766,168,362,108,81,47,{B86244F1-C194-4261-A5FC-8E999935175E},,
88.03,2345,141,59,421,828,407,900,2101,103,314,11001008803,1351,3.27,1.82,1129,721,264,125,19,0,{7BCB90CD-EA31-4A95-A89F-FE70FD870AA2},,
88.04,2108,143,191,306,776,470,569,1887,78,351,11001008804,1547,3.27,1.79,452,102,171,132,0,47,{17C63EF8-4B47-4CC1-9957-CA506593B1CF},,
89.03,2410,192,127,618,1090,472,418,2182,36,547,11001008903,1689,3.61,2.23,1029,220,561,132,17,99,{C3C7DE34-9C0D-4F73-9796-22DD0163EC62},,
89.04,2910,322,61,634,1005,371,792,2458,130,600,11001008904,1933,2.9,2.11,941,180,444,125,144,48,{9A6E352A-A683-4E4B-9927-D206FE755144},,
90,2939,145,71,651,1219,568,779,2635,159,566,11001009000,2275,2.61,1.57,475,98,261,19,77,20,{C4BD0DCA-9719-42F7-977A-F65013DC587D},,
91.02,3126,296,119,745,1248,503,694,2619,211,558,11001009102,1989,3.38,2.4,1236,330,330,275,73,228,{15C880DE-8A59-4C51-9003-7D726847E200},,
92.01,1776,33,74,532,1387,855,116,1698,45,121,11001009201,1150,3.19,2.24,1285,847,241,66,26,105,{E3B4E1AD-8235-44F7-8AAD-DFD6D6BCECF4},,
92.03,2268,165,81,582,1246,664,348,2096,7,421,11001009203,1483,2.71,2.07,552,268,171,66,26,21,{58943851-CD09-49D0-B3C3-5E14A15C5EF9},,
92.04,2030,195,211,355,533,178,513,1646,189,389,11001009204,1492,2.97,2.18,923,75,492,159,60,137,{1EE8856F-6F1E-4750-8A78-0CF416A76CAE},,
93.01,2720,21,46,637,1620,983,334,2692,7,692,11001009301,1491,2.96,2.29,608,181,146,155,6,120,{4C2BF5D9-BFF5-4A32-9C7C-11A6E9756416},,
93.02,1252,110,0,221,733,512,230,1082,60,119,11001009302,792,2.65,2.05,382,202,127,32,6,15,{12534BAD-9FBC-42F2-A046-D95B875461C2},,
94,3639,193,135,1130,1821,691,489,3274,172,829,11001009400,1817,3.4,2.66,955,267,444,184,43,17,{BD8D6C0D-5C0D-42AD-8562-27C4C53D2A43},,
95.03,1994,54,29,454,1112,658,294,1902,38,467,11001009503,1109,2.93,2.57,817,230,416,60,64,47,{42D5D7F6-745A-4AF0-9AFE-311841056ADF},,
95.04,2653,58,73,793,1542,749,386,2546,49,545,11001009504,1248,2.89,2.33,294,57,156,43,13,25,{693443A5-A408-4AF5-8D14-9C1D3B63A94F},,
95.05,3266,133,200,608,1436,828,554,3097,36,907,11001009505,1797,3.34,2.3,1228,469,430,262,59,8,{604BE77E-20FE-4D4E-81E7-73D9A2446878},,
95.07,1260,61,88,244,446,202,294,1162,37,334,11001009507,628,3.58,2.68,291,68,183,40,0,0,{565D81C9-B06C-4235-A796-E98E29F0BC24},,
95.08,2859,148,64,654,1188,534,746,2604,107,606,11001009508,1648,3.85,2.4,1185,300,457,301,31,96,{5F3C89AE-1446-46D2-8EE1-AADF1B43F31C},,
95.09,2413,112,128,730,1205,475,466,2245,56,446,11001009509,1400,3.2,2.29,636,264,182,63,12,115,{E4C2FB45-1765-4E75-8DA1-ADBCD67A1F86},,
95.1,2932,301,97,366,686,320,784,2442,189,875,11001009510,1873,3.8,2.58,1409,303,721,256,32,97,{CDC0A383-004F-4D57-B84A-42B6511BC796},,
95.11,197,6,7,48,110,62,57,191,0,17,11001009511,0,,,1887,1887,0,0,0,0,{B96E231D-B626-41AB-B1B4-B648C2D9D7E0},,
96.01,1279,114,45,281,348,67,473,1101,64,235,11001009601,869,3.3,2.61,657,120,380,76,0,81,{E99DD8A4-7961-4948-9956-EEE80EE062C7},,
96.02,2874,397,241,367,707,340,1025,2410,67,437,11001009602,2197,3,2.12,1184,169,396,221,180,218,{1D83C11C-F9B9-4662-A6AF-D83002B93345},,
96.03,2827,293,264,369,605,236,1003,2482,52,610,11001009603,1913,2.99,2.02,980,385,300,173,75,47,{C329CE0A-2573-4314-B31E-CB7C1A2BCB4F},,
96.04,1615,130,32,243,445,202,498,1465,20,490,11001009604,892,3.87,2.68,613,167,198,16,77,155,{E53E0C25-7539-49C7-8D1A-F4D39F47D667},,
99.01,1922,11,114,377,953,576,318,1816,95,431,11001009901,976,3.1,2.33,365,115,66,42,123,19,{361BDEB2-8A85-48A4-BE1C-746B853058DB},,
99.02,2582,166,302,155,449,294,438,2284,132,1095,11001009902,1311,3.04,2.38,611,219,331,52,0,9,{FD5F9545-BDC6-4FA7-A106-922524BAD28D},,
99.03,1498,74,21,218,516,298,501,1382,42,344,11001009903,671,4.28,3.52,815,332,251,157,0,75,{E5F5D450-8665-467B-8A99-19E22A213326},,
99.04,1710,136,134,332,403,71,673,1501,73,291,11001009904,1235,3.78,2.49,991,118,449,186,87,151,{87DCA415-8222-4559-9BA3-1E1E18E4B832},,
99.05,1950,131,143,265,476,211,700,1819,0,500,11001009905,1351,3.04,2.26,961,95,335,413,0,118,{A8EF374F-A380-4A7A-992F-E1466E8811C0},,
99.06,1393,155,45,137,329,192,539,1196,42,283,11001009906,907,2.83,2,306,126,79,29,56,16,{8085123A-933C-4550-9259-265A974049CF},,
99.07,1603,302,0,126,212,86,627,1241,60,402,11001009907,1019,4.03,2.43,762,161,315,217,22,47,{441F0308-66BD-474B-84E7-E5981D9CDEEC},,
101,2466,0,38,648,2107,1459,143,2464,2,176,11001010100,1854,2.16,1.45,287,232,55,0,0,0,{DB65FBF6-5BE1-40AA-8666-73FBCF36B6F9},,
102.01,2160,20,100,862,1851,989,9,2139,1,179,11001010201,1728,2.59,1.46,451,239,110,102,0,0,{ED5198B4-440B-4F78-B8E1-E6F41A75628E},,
102.02,1619,0,22,579,1207,628,45,1541,78,267,11001010202,1158,2.19,1.67,288,202,12,25,26,23,{50E017D6-545A-4C46-B20A-7411C27B3F40},,
103,2908,95,130,726,1388,662,578,2489,324,393,11001010300,1515,3.23,2.59,1084,153,465,306,27,133,{27BA02CE-76BF-4A01-8337-B266AAAA9D3A},,
104,3115,110,387,272,800,528,1148,2964,41,629,11001010400,2283,3.01,1.79,918,120,468,165,54,111,{1901848F-5165-4B9B-8347-26BC4A7A8756},,
105,3377,174,133,894,2455,1561,257,3080,123,235,11001010500,2402,2.74,1.68,330,247,22,41,17,3,{A8FFA276-223A-43E9-9017-468E1695BF8A},,
106.01,1490,123,18,477,1081,604,99,1366,1,168,11001010601,1181,2.54,1.62,272,179,72,0,0,21,{BE3A55FB-6166-4ED7-B3AA-236298EAD972},,
106.02,4486,86,50,1458,3624,2166,425,4278,122,179,11001010602,2611,3.12,2.16,1285,556,90,221,209,209,{2205518E-F16B-442B-AC12-869B129BD0B3},,
106.03,1852,18,104,1023,1639,616,22,1834,0,69,11001010603,1616,2.12,1.54,208,208,0,0,0,0,{4F9C5DF8-0385-4C3B-8135-BBE2D82DE59A},,
107,1328,42,0,596,1098,502,88,1258,28,72,11001010700,1201,2.28,1.29,277,270,0,1,0,6,{0A72F5E3-2981-4EA2-8C7C-C6B66D6FDCEB},,
108,783,6,23,164,633,469,31,777,0,90,11001010800,768,2.33,1.32,5706,5685,15,6,0,0,{16B88C8B-8183-4835-9C2A-82F9CA19B12E},,
110.01,2285,141,62,758,1637,879,317,2144,0,128,11001011001,1459,2.25,1.63,163,130,0,11,0,22,{F7EEE919-5FA7-434B-9B1F-9501878BF3F3},,
110.02,1427,18,25,282,1120,838,104,1409,0,160,11001011002,1077,2.08,1.36,35,35,0,0,0,0,{006A4F59-2EB3-4776-83B3-F8707727FED7},,
111,4026,476,228,812,1587,775,1060,3497,53,622,11001011100,1941,3.79,2.42,945,198,443,113,77,114,{930EBA59-386B-4898-A02A-B5DB8B663FF8},,
9800,17,0,0,17,17,0,0,17,0,0,11001980000,5,3.4,3.4,0,0,0,0,0,0,{DCE14793-A18C-491F-BBF8-8A29672C913F},,
